Review	Liked
 Hey, you got that special candy?	1
Blue and white, strong stuff.	1
Fresh batch of candy just came in. Let me know if you want some	1
Special candy drops tomorrow, limited stock	1
You mean the red and blue packs?	1
 Bro, I just found this new candy shop, their chocolate fudge is insane!	0
Oh man, I love candy. Where is it?	0
 Mom, can I have some candy?	0
Dude, have you tried these candies?	0
Hey! You ate all the candy!	0
Lorazepam	1
Ativan	1
Hey, you got any downers?	1
 Just a small pack, enough to last the weekend.	1
Got fresh downers in stock. Let me know if you’re interested.	1
Need something to slow things down. You got me?	1
Mellow, but they’ll do the job.	1
Need some help sleeping, you got the good stuff?	1
Same, total downer of a day.	0
Ugh, that meeting was a downer. 	0
Ugh, those are such downers. Let’s go for something light.	0
I know, total downer. No music, no energy.	0
It’s been raining all week, such a downer.	0
 Hey, you still got those sleeping pills?	1
Just restocked on those sleeping pills you like	1
Stronger than the last batch, smooth and long-lasting	1
Can you hook me up? Been having trouble sleeping.	1
A couple to start. I’ll let you know if I need more.	1
A little stronger. You’ll sleep like a baby	1
Need something to help me sleep. You got me?	1
Man, I haven’t slept properly in days.	0
Have you tried sleeping pills?	0
Mom, why do you take those sleeping pills?	0
Sometimes I have trouble falling asleep, sweetie.	0
I can’t sleep, my mind won’t shut off.	0
Want one of my sleeping pills?	0
I think I need to buy some sleeping pills.	0
You sure? Maybe try herbal tea first.	0
Not great. I think I need sleeping pills.	0
Let’s try some natural methods first. If that doesn’t help, we’ll consider it.	0
Hey, you got any tranks?	1
Just got a fresh batch of tranks. Let me know if you need some.	1
Need something to take the edge off. You got me?	1
Got those chill ones you asked for.	1
Need something to relax, you got those tranks?	1
Got some new tranks, stronger than before.	1
Need some help unwinding. Got anything?	1
Just a small pack for the week.	1
Have you tried giving him tranks?	0
Man, I was so nervous before my surgery.	0
Yeah, some tranks to calm me down. Worked like magic.	0
I’ve been super stressed lately.	0
You ever tried tranks?	0
Nah, I don’t want to rely on meds.	0
Wow, this character is way too calm in a crisis.	0
Probably on tranks or something.	0
You’ve been feeling anxious, right?	0
We can try therapy first, or I can prescribe mild tranks.	0
Triazolam	1
Halcion	1
Klonopin	1
Clonazepam	1
You got any K?	1
Fresh K just came in. Let me know if you’re looking.	1
Need some K for the weekend. You around?	1
Not too much, just enough for two.	1
Got some K if you’re interested.	1
Need to stock up. You got K?	1
K, see you then.	0
K, then you can go.	0
Like fifty thousand, pretty expensive.	0
K, I’ll check it now.	0
I found this jacket for three thousand. Should I buy it?	0
Hey, you still got K-Pin?	1
Got some fresh K-Pin in. Let me know if you need.	1
Been having trouble sleeping. You got any K-Pin?	1
Got some new K-Pin, stronger batch.	1
Need some K-Pin, you still got stock?	1
Yeah, some K-Pin. Helps me relax.	0
Mom, what’s K-Pin?	0
You ever tried K-Pin?	0
Hey, do you have a prescription for K-Pin?	0
We can try a mild dose of K-Pin to see if it helps.	0
You got any pin	1
Got fresh pin in stock. Let me know if you need.	1
Need some pin, you got me?	1
Just restocked, best pin around.	1
Need some help relaxing, got any pin?	1
I forgot my phone’s PIN again!	0
Mom, I lost my school pin.	0
Should I get this pin for my jacket?	0
Did you enter the right PIN?	0
Have you had any numbness or pin-like sensations?	0
Hey, you got any Super Valium?	1
Got a fresh batch of Super Valium in. Interested?	1
Need to grab some Super Valium. You around?	1
Got some new Super Valium, better than last time.	1
You still got Super Valium?	1
Yeah, Super Valium. It helps sometimes.	0
Mom, what’s Super Valium?	0
Haha, probably on Super Valium or something.	0
Hey, I need to fill my Super Valium prescription.	0
Super Valium works, but I don’t want to rely on it.	0
Chlordiazepoxide	1
Librium	1
Rohypnol	1
Flunitrazepam	1
Yo, how much for a pack of Forget-Me Pills?	1
Bro, I need some Forget-Me fast. You got stock?	1
Need a big batch of Forget-Me for this weekend.	1
My guy needs some Forget-Me Pills. Can you hook him up?	1
Yo, you got the "blue tickets" we talked about?	1
Dude, you need a forget-me pill or something.	0
Mom, what’s a Forget-Me Pill?	0
Yeah, I need a Forget-Me Pill so I can watch it fresh again.	0
We have some supplements, but no "Forget-Me Pill."	0
Yeah, sometimes I feel like I need a Forget-Me Pill.	0
Yo, you still got some La Rocha?	1
Can you handle a bigger La Rocha order?	1
Someone told me you can help me with La Rocha?	1
Bro, I need some La Rocha fast.	1
Yo, you got the "red circles" I asked about?	1
Ever been to La Rocha before?	0
You heard that new track by La Rocha?	0
Let’s grab dinner at La Rocha tonight.	0
I’m thinking of visiting La Rocha this summer.	0
That La Rocha brand is trending now.	0
Yo, you still got some Lunch Money?	1
Can you hook me up with a bigger Lunch Money drop?	1
I sent the Lunch Money to your usual spot.	1
Bro, I need some Lunch Money ASAP.	1
My guy needs some Lunch Money. Can you hook him up?	1
Mom, can I get some lunch money?	0
Dude, I forgot my lunch money today.	0
Hey, you got any lunch money? I forgot my wallet.	0
This game is stealing all my lunch money!	0
Remember when lunch money was like two dollars?	0
Yo, you still got some Mind Erasers?	1
I need a big batch of Mind Erasers.	1
I sent the Mind Eraser payment already.	1
Bro, I need some Mind Erasers now.	1
My guy needs some Mind Erasers. You good?	1
You ever tried a Mind Eraser?	0
Yeah, I need a Mind Eraser to forget that ending.	0
I have so much work, I need a Mind Eraser.	0
Right? I need a Mind Eraser after that.	0
Yeah, we need a Mind Eraser after finals.	0
roofies	1
Diazepam	1
Valium	1
Yo, you still got jellies?	1
Can you hook me up with a bigger batch of jellies?	1
Sent the cash for the jellies.	1
Bro, I need some jellies ASAP.	1
My guy is looking for some jellies. Can you hook him up?	1
Hey, can you grab some jellies from the store?	0
I love jellies, especially the fruit-flavored ones!	0
PB&J with extra jellies!	0
Yeah, those jellies look amazing under the lights!	0
Remember those jellies we used to wear as kids?	0
Yo, you still got moggies?	1
Need a bigger batch of moggies this time.	1
Sent the payment for the moggies.	1
Bro, I need some moggies ASAP.	1
My guy needs some moggies. Can you sort him out?	1
Do you like moggies or purebreds?	0
I just adopted two moggies from the shelter!	0
I love moggies, but I’m allergic.	0
They have so many moggies up for adoption!	0
Anyone here own moggies?	0
Yo, you still got vallies?	1
I need a bigger batch of vallies this time.	1
Sent the cash for those vallies.	1
Bro, I need some vallies ASAP.	1
My friend needs some vallies. Can you hook him up?	1
I love hiking through vallies!	0
Definitely vallies—so peaceful and green.	0
Let’s visit some vallies this summer.	0
I just took some amazing shots of the vallies.	0
You know ancient civilizations often settled in vallies?	0
Alprazolam	1
Xanax	1
You got any bars left?	1
Need a bigger batch of bars this time.	1
Sent the cash for the bars.	1
Bro, I need some bars ASAP.	1
My guy needs some bars, can you hook him up?	1
That rapper got crazy bars!	0
Yeah, I have protein bars every day.	0
Let’s hit some bars this weekend.	0
I love Snickers and Twix bars.	0
Did you see those new security bars on the windows?	0
Yo, still got xannies?	1
Can I pick up some of those "extras" we talked about?	1
Bro, I need some xannies ASAP.	1
My usual guy flaked, you got xannies?	1
Yo, can you get me some of those for "stress"?	1
Yo, my guy needs xannies. You got extra?	1
DMT	1
Hey, you got that special spice? Looking for two g.	1
Yeah, got the light crystals. two g for one hundred twenty.	1
Need some dream fuel. You still got it?	1
Need that "spirit dust," usual amount.	1
Have you read about the role of DMT in near-death experiences?	0
Our company is shifting to DMT for secure media transmission.	0
Did you see that documentary about shamanic rituals using DMT?	0
Bro, the new expansion has a weapon called DMT.	0
Have you seen the latest study on DMT’s effects on depression?	0
Hey, is Dimitri around? Need the same as last time.	1
Dimitri’s got the best stuff right now. Fresh batch.	1
Need to see Dimitri. Urgent.	1
Dimitri’s supply is running low.	1
Got any of Dimitri’s special?	1
Have you met Dimitri yet?	0
Dimitri Mendeleev was the guy who made the periodic table, right?	0
Uncle Dimitri is visiting next week!	0
I met this guy named Dimitri in Greece. Super friendly!	0
Bro, Dimitri is such an OP character in this game.	0
You still got the rogan? Looking for the usual.	1
Fresh batch of rogan just came in. Best quality.	1
Need to grab some rogan.	1
Rogan’s moving fast, might run out soon.	1
Can you get me the rogan by tomorrow?	1
Did you hear that Joe Rogan’s new podcast dropped?	0
Have you tried rogan josh before?	0
Rogan’s new book on philosophy is a must-read.	0
Rogan made it to the championship!	0
Met a guy named Rogan in Spain. Super chill.	0
You got any white lightning?	1
Need a bigger batch of white lightning this time.	1
You still got that fast stuff?	1
Bro, I need some white lightning ASAP.	1
Sent the cash for that white lightning.	1
Can you ship some white lightning?	1
Hey, can you get me some of that "energy booster"?	1
My usual guy flaked, you got white lightning?	1
Yo, my guy needs white lightning. You got extra?	1
Ever tried white lightning?	0
They call it White Lightning, it’s so fast!	0
Yeah, crazy white lightning all over the sky.	0
Yeah! They called him White Lightning.	0
White Lightning, ‘cause it’s smooth and fast.	0
You got any vanilla sky?	1
Need a bigger batch of vanilla sky this time.	1
Yeah, pure vanilla. How much you need?	1
Bro, I need some vanilla sky ASAP.	1
Sent the cash for that vanilla sky.	1
Can you ship some vanilla sky?	1
The usual vanilla sky?	1
My usual guy flaked, you got vanilla sky?	1
Yo, my guy needs vanilla sky. You got extra?	1
Ever seen Vanilla Sky?	0
Vanilla Sky, from that new shop downtown!	0
Yeah, all soft pinks and whites, like vanilla sky.	0
Try the Vanilla Sky, it’s smooth but strong.	0
Vanilla Sky, it’s my new favorite!	0
You got any scarface?	1
Need a bigger batch of scarface this time.	1
You still got that strong powder?	1
Bro, I need some scarface ASAP.	1
Sent the cash for that scarface.	1
Can you ship some scarface?	1
My usual guy flaked, you got scarface?	1
Ever seen Scarface?	0
Scarface! Got the full suit and everything.	0
Have you played that old Scarface game?	0
Yeah, they call him Scarface for a reason.	0
: Yeah, but now I call him Scarface.	0
You got any lunar wave?	1
Need a bigger batch of lunar wave this time.	1
You still got that midnight ride?	1
: Bro, I need some lunar wave ASAP.	1
Sent the cash for that lunar wave.	1
Can you ship some lunar wave?	1
Hey, you still got the spirit molecule?	1
Just got some fresh spirit molecule in. Best quality.	1
Need the spirit molecule ASAP.	1
Running low on the spirit molecule. Won’t get more for a while.	1
Any chance you can get more spirit molecule soon?	1
Have you read The Spirit Molecule by Rick Strassman?	0
Bro, you gotta watch The Spirit Molecule documentary.	0
Some people believe the spirit molecule connects us to other dimensions.	0
Did you know researchers are studying the spirit molecule’s effects on consciousness?	0
Ever heard of the spirit molecule?	0
Hey, can you get me some of that "deep relaxer"?	1
My usual guy flaked, you got lunar wave?	1
Yo, my guy needs lunar wave. You got extra?	1
Did you see that lunar wave last night?	0
Yeah, we call it riding the lunar wave!	0
I found this chill track called Lunar Wave.	0
Just finished Lunar Wave, crazy plot twists.	0
Let’s hit Lunar Wave tonight!	0
You got any flakka?	1
Need a bigger batch of flakka this time.	1
You still got that wild fire?	1
Bro, I need some flakka ASAP.	1
Sent the cash for that flakka.	1
Can you ship some flakka?	1
Hey, can you get me some of that "amped up energy"?	1
My usual guy flaked, you got flakka?	1
Yo, my guy needs flakka. You got extra?	1
Have you heard that new Flakka track?	0
Bro, I just got wrecked in Flakka Rush!	0
My cousin named his dog Flakka.	0
Yeah, straight-up flakka energy!	0
I started this new flakka workout plan.	0
You got any cloud nine?	1
Need a bigger batch of cloud nine this time.	1
You still got that sky-high special?	1
Bro, I need some cloud nine ASAP.	1
Can you ship some cloud nine?	1
Hey, can you get me some of that "relaxation mix"?	1
My usual guy flaked, you got cloud nine?	1
Yo, my guy needs cloud nine. You got extra?	1
Just got my dream job! I’m on cloud nine!	0
That massage was amazing. I feel like I’m on cloud nine.	0
You still got geeb?	1
Geeb’s moving quick. You in?	1
Need geeb for the weekend.	1
Got that strong geeb again.	1
Can I grab some geeb today?	1
Dude, that guy is such a geeb in the game.	0
Have you heard of Geeb Industries?	0
My cat’s name is Geeb.	0
Have you listened to DJ Geeb’s new track?	0
The new intern’s last name is Geeb!	0
Got any Georgia left?	1
Georgia is moving fast. You still interested?	1
Need Georgia tonight.	1
This Georgia batch is top-tier.	1
You getting more Georgia next week?	1
Bro, Georgia On My Mind is a classic.	0
Did you see Georgia’s game last night?	0
Did you know Georgia was one of the original thirteen colonies?	0
Ever had Georgia peach cobbler?	0
Ever been to Georgia?	0
Home boy got the same stuff as last time?	1
Home boy said you needed some?	1
My home boy said you’re the guy to talk to.	1
Home boy got the package ready.	1
Yo, home boy said you’re running low?	1
Yo, my home boy just got a new car!	0
Remember our old home boy, Tony?	0
Did you hear that new track?	0
My home boy and I just hit Diamond rank!	0
I bet it’s your home boy from accounting.	0
Sophia: Haha, probably. He owes me one.	0
Hii, I am a robot	0
Last night was perfect. I’m still on cloud nine.	0
I know, I was on cloud nine the whole time.	0
We won first place! I’m on cloud nine!	0
You got any bliss?	1
Need a bigger batch of bliss this time.	1
You still got that happiness special?	1
Bro, I need some bliss ASAP.	1
Sent the cash for that bliss.	1
Can you ship some bliss?	1
My usual guy flaked, you got bliss?	1
Yo, my guy needs bliss. You got extra?	1
Just got my dream job! I’m in pure bliss!	0
That massage was amazing. I feel like I’m in bliss.	0
Last night was perfect. Pure bliss.	0
I know, I was in bliss the whole time.	0
I started meditating, it’s pure bliss.	0
You got any bath salts?	1
Need a bigger batch of bath salts this time.	1
Yeah, fresh batch of bath salts. How much you need?	1
Bro, I need some bath salts ASAP.	1
Sent the cash for that bath salts.	1
Can you ship some bath salts?	1
The usual bath salts?	1
My usual guy flaked, you got bath salts?	1
Hey, can you get me some of that "spa treatment"?	1
Yo, my guy needs bath salts. You got extra?	1
I got some new bath salts today.	0
I found a great deal on bath salts online.	0
Had a spa day with bath salts and candles.	0
I got my mom some luxury bath salts.	0
I made my own bath salts at home!	0
You got any Sally-D?	1
Need a bigger batch of Sally-D this time.	1
Yeah, fresh batch of Sally-D. How much you need?	1
Bro, I need some Sally-D ASAP.	1
Sent the cash for that Sally-D.	1
Can you ship some Sally-D?	1
Hey, can you get me some of that "herbal blend"?	1
: My usual guy flaked, you got Sally-D?	1
Yo, my guy needs Sally-D. You got extra?	1
Sally-D just got promoted!	0
Have you tried the Sally-D shuffle?	0
Sally-D is my favorite book character.	0
They call me Sally-D on the basketball court.	0
Have you heard the new track by Sally-D?	0
You got any Maria Pastora?	1
Need a bigger batch of Maria Pastora this time.	1
Yeah, fresh batch of Maria Pastora. How much you need?	1
Bro, I need some Maria Pastora ASAP.	1
Sent the cash for that Maria Pastora.	1
Can you ship some Maria Pastora?	1
Hey, can you get me some of that "sage blend"?	1
My usual guy flaked, you got Maria Pastora?	1
Yo, my guy needs Maria Pastora. You got extra?	1
Maria Pastora is coming to the party.	0
Did you read about Maria Pastora in history class?	0
Hey, you still got the special K?	1
Need that party pack. You got stock?	1
Looking for some vitamin K. You got?	1
Can you sort me out with that horse tranq?	1
You got K still?	1
Did you know ketamine is being researched for depression treatment?	0
Yeah, the vet gave him ketamine for anesthesia. It was scary but worked well.	0
They talked about MDMA, ketamine, and GHB. Pretty interesting stuff.	0
We learned how ketamine interacts with the brain. It’s used medically but also misused a lot.	0
I heard ketamine is sometimes used in emergency rooms for pain relief.	0
Yo, you still got that Cat Valium?	1
Need some more feline meds.	1
Heard you got that special Cat Valium.	1
Looking for the sleepy cat formula.	1
Can you hook me up with CV?	1
Yeah, the vet gave her Cat Valium to calm her down.	0
Ever heard of Cat Valium?	0
My friend joked that my lazy cat is always on Cat Valium.	0
Stuff like Cat Valium—they use it to sedate pets before surgery.	0
Dude, I need Cat Valium for myself.	0
You got that green?	1
Bro, I need some fresh green.	1
Can you deliver some green tonight?	1
Got any good green this week?	1
You got that organic green?	1
Definitely green. It’s so calming.	0
Yeah! Their green smoothie is amazing.	0
That’s great! Going green is so important.	0
Yeah, the team in green played really well!	0
Man, I need more green in my life.	0
You got some jet?	1
I need that high-speed jet again.	1
Got that jet fuel?	1
I’m flying low, need some jet.	1
